,Chained 2012 Value (millions of dollars),,,,,,,Chained 2012 Value Percent Change,,,,,,,Current Value (millions of dollars),,,,,,,Current Value Percent Change,,,,,,,Tons (thousands),,,,,,,Tons Percent Change,,,,,,,Ton Miles (millions),,,,,,,Ton Miles Percent Change,,,,,,
South Dakota,"55,602","60,506","61,636","61,226","62,432","60,522","62,950",,0.088181022,0.018691253,-0.006655626,0.019702024,-0.030600455,0.040119608,"55,602","59,848","58,603","53,779","52,109","52,766","56,701",,0.076350612,-0.020789958,-0.082326376,-0.031052679,0.012614857,0.074576775,"113,474","134,827","134,823","133,429","137,883","126,519","132,590",,0.188171734,-3.36045E-05,-0.010339045,0.033381345,-0.082419088,0.047987765,"36,405","41,288","41,578","41,382","43,073","40,475","41,821",,0.134107859,0.007035976,-0.004728586,0.04088586,-0.060328766,0.033259435
Tennessee,"394,484","390,158","395,024","398,677","397,077","403,422","413,493",,-0.010963923,0.012471796,0.009246021,-0.004013654,0.015978938,0.024964375,"394,484","394,064","404,942","396,157","392,048","410,650","434,963",,-0.001064346,0.027605786,-0.021694643,-0.010373449,0.047449887,0.059206576,"259,421","256,591","257,781","258,593","270,299","275,581","285,992",,-0.010909564,0.004637587,0.003150207,0.045269968,0.019542081,0.03777783,"68,353","69,439","69,222","68,897","70,250","71,192","73,228",,0.015891991,-0.003125243,-0.004699039,0.019634636,0.013415298,0.028600056
Texas,"2,495,477","2,548,089","2,628,986","2,641,214","2,596,731","2,663,736","2,798,885",,0.021082963,0.031747826,0.004651406,-0.016841993,0.025803758,0.050736592,"2,495,477","2,553,411","2,612,610","2,212,850","2,076,774","2,270,540","2,568,564",,0.023215355,0.023184258,-0.153011624,-0.06149372,0.093301792,0.131256612,"2,353,988","2,417,962","2,542,447","2,581,398","2,549,918","2,614,420","2,763,225",,0.027177031,0.051483389,0.015320185,-0.012195094,0.025295719,0.056917003,"552,976","599,139","631,736","638,279","630,460","645,388","684,256",,0.083480555,0.054407812,0.010357086,-0.012251119,0.023677844,0.060224506
Utah,"142,436","139,803","137,118","136,183","133,927","134,851","141,721",,-0.018482232,-0.019211968,-0.006819018,-0.016563876,0.006901555,0.05094486,"142,436","140,995","140,206","129,426","125,140","130,835","143,315",,-0.010115634,-0.005597106,-0.076884655,-0.033119369,0.045511706,0.095387457,"131,094","133,707","139,186","131,726","126,221","128,522","133,381",,0.019927693,0.040977793,-0.053591801,-0.041792624,0.018228617,0.03780461,"42,170","44,157","46,394","45,109","41,538","42,981","45,566",,0.047119885,0.050649041,-0.027681088,-0.079170029,0.034746898,0.060133855
Vermont,"37,528","37,424","37,009","36,356","34,660","34,041","34,798",,-0.002772593,-0.011090218,-0.017657347,-0.046637792,-0.017874276,0.022250284,"37,528","37,973","38,329","36,550","34,605","34,986","36,898",,0.011842,0.009383083,-0.046416057,-0.053216853,0.011011176,0.05465963,"28,537","28,300","28,676","27,974","28,376","27,924","28,567",,-0.008295094,0.013257466,-0.024469223,0.014362195,-0.015913816,0.023015433,"5,227","5,169","5,096","5,063","5,208","4,976","4,963",,-0.010981786,-0.014135515,-0.006478128,0.028703011,-0.044691173,-0.00249182
Virginia,"299,796","294,169","299,918","301,473","298,919","298,795","307,111",,-0.018770322,0.019542292,0.005184672,-0.008472169,-0.000413743,0.027833159,"299,796","297,750","308,931","301,848","297,074","305,289","323,091",,-0.006825776,0.03755116,-0.022927893,-0.015815013,0.027654548,0.058311157,"257,296","247,734","256,173","263,344","268,424","272,977","279,893",,-0.037162655,0.034063028,0.027991304,0.01929343,0.016961112,0.025333942,"46,814","47,232","48,381","49,167","48,922","52,950","51,100",,0.0089377,0.024323909,0.016235397,-0.004985046,0.082339335,-0.034942734
Washington,"420,316","422,985","439,196","438,772","432,607","430,669","442,666",,0.006349981,0.038324229,-0.000965766,-0.014049559,-0.004479424,0.027854821,"420,316","426,770","445,879","421,113","406,670","417,236","443,792",,0.015352877,0.044777993,-0.055545519,-0.034295856,0.025980171,0.063649224,"326,362","316,466","326,826","324,677","343,765","338,687","344,727",,-0.030322127,0.032738483,-0.006575688,0.058789604,-0.014771163,0.017833644,"77,867","90,239","93,029","93,288","97,722","95,639","96,989",,0.158886819,0.030909417,0.002792982,0.047521898,-0.021307633,0.014110637
West Virginia,"81,499","72,534","72,950","71,379","68,828","70,776","74,975",,-0.110007903,0.005740747,-0.021533568,-0.035736409,0.028299755,0.059330559,"81,499","73,362","75,340","67,931","64,586","70,083","77,072",,-0.099846184,0.026959235,-0.098335993,-0.049237909,0.085113437,0.099715315,"266,770","235,397","229,034","208,837","187,794","202,829","223,342",,-0.117602872,-0.027032879,-0.08818149,-0.100766111,0.080065557,0.101134623,"102,502","85,796","78,360","69,454","60,813","68,120","79,425",,-0.162979941,-0.086673274,-0.113646362,-0.124418315,0.120160821,0.165953225
Wisconsin,"336,000","338,310","345,052","342,384","340,415","344,912","353,799",,0.006876528,0.019926322,-0.007731435,-0.005751126,0.013209241,0.025767155,"336,000","340,975","351,811","331,672","322,677","337,657","358,832",,0.014806221,0.0317805,-0.057244902,-0.027119929,0.046423237,0.062713984,"297,988","302,648","313,759","313,531","311,877","316,809","330,234",,0.015638205,0.036713076,-0.000726747,-0.005273922,0.015814388,0.042374574,"72,598","75,040","79,107","77,974","77,786","80,391","82,975",,0.03363513,0.054193836,-0.014317534,-0.002413702,0.033487796,0.032149815
Wyoming,"57,584","57,391","58,184","57,867","55,202","55,876","59,270",,-0.003337526,0.013816055,-0.005455762,-0.046057569,0.012215544,0.060738897,"57,584","58,290","59,557","46,318","41,806","46,428","52,916",,0.012271502,0.021736222,-0.222290714,-0.097414901,0.110560707,0.1397377,"530,766","514,527","521,828","492,646","419,504","436,783","437,508",,-0.030596618,0.014190758,-0.055923198,-0.148466846,0.041187026,0.00166009,"561,334","541,990","552,674","513,100","424,906","446,461","438,940",,-0.034460961,0.019713074,-0.071603771,-0.171886008,0.050730869,-0.01684605
